row_num,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
1,12-20,Female,"1 year to 2 years","Smart speakers or voice assistants","Free (ad-supported)",No,None,Music,Pop,Night,"Relaxation and stress relief","leisure time",Others,4,"Once a week",Comedy,"Story telling",Both,Shorter,Ok
2,12-20,Male,"More than 2 years","Computer or laptop","Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Podcast,Rap,Afternoon,"Social gatherings or parties","Workout session",Playlists,2,"Several times a week",Comedy,Interview,Both,None,Satisfied
3,12-20,Male,"More than 2 years","Smartphone, Wearable devices","Free (ad-supported)",No,"Student Plan-Rs 59/month",Music,Pop,Morning,"Relaxation and stress relief","While Traveling",Playlists,4,Rarely,Sports,Interview,Both,Shorter,Ok
4,12-20,Male,"6 months to 1 year","Smart speakers or voice assistants","Free (ad-supported)",Yes,"Student Plan-Rs 59/month",Podcast,Rap,Morning,"Relaxation and stress relief","While Traveling, Workout session","Playlists, Radio",3,"Several times a week","Food and cooking",Interview,"unknown Podcasters",Longer,Ok
5,12-20,Female,"1 year to 2 years","Computer or laptop, Wearable devices","Premium (paid subscription)",Yes,"Duo plan- Rs 149/month",Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",Radio,3,"Once a week","Health and Fitness",Interview,Both,Longer,Satisfied
6,12-20,Female,"6 months to 1 year","Computer or laptop","Premium (paid subscription)",No,"Individual Plan- Rs 119/ month",Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Workout session",Radio,2,"Several times a week","Lifestyle and Health","Story telling","Well known individuals",Shorter,"Very Satisfied"
7,12-20,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,None,None,None,None,Ok
8,12-20,Female,"1 year to 2 years","Computer or laptop, Wearable devices","Premium (paid subscription)",Yes,"Duo plan- Rs 149/month",Podcast,classical,Afternoon,"Uplifting and motivational","While Traveling, leisure time","Playlists, Others",2,"Once a week","Health and Fitness","Story telling","unknown Podcasters",Both,Dissatisfied
9,12-20,Female,"1 year to 2 years","Computer or laptop","Free (ad-supported)",Yes,"Individual Plan- Rs 119/ month",Podcast,Rap,Afternoon,"Sadness or melancholy","Study Hours",Radio,3,"Once a week","Health and Fitness",Interview,"unknown Podcasters",Longer,Satisfied
10,12-20,Male,"6 months to 1 year",Smartphone,"Free (ad-supported)",No,"Student Plan-Rs 59/month",Music,classical,Night,"Social gatherings or parties","leisure time",Playlists,3,Never,None,None,None,None,"Very Dissatisfied"
11,12-20,Female,"More than 2 years",Smartphone,"Free (ad-supported)",No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,"Very Satisfied"
12,12-20,Female,"6 months to 1 year","Computer or laptop","Free (ad-supported)",Yes,"Duo plan- Rs 149/month",Podcast,Rap,Morning,"Sadness or melancholy","Workout session",Playlists,4,"Several times a week","Lifestyle and Health",Interview,"Well known individuals",Longer,Satisfied
13,12-20,Female,"6 months to 1 year","Computer or laptop, Smart speakers or voice assistants","Free (ad-supported)",No,"Duo plan- Rs 149/month",Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session",Playlists,3,"Once a week","Health and Fitness",Interview,"Well known individuals",Both,Ok
